,Index of Roll in AllRollsWildemount.csv,Episode,Time,Character,Type of Roll,Total Value,Natural Value,Crit?,Damage Dealt,# Kills,Notes
676,5248,C2E045,00:19:54,Jester,Healing,Unknown,Unknown,,,,"Cure Wounds (1st), Nott heals unknown points"
677,5249,C2E045,00:23:52,Jester,Perception,23,19,,,,
678,5252,C2E045,00:25:02,Jester,Stealth,Nat1,1,,,,
679,5254,C2E045,00:32:07,Jester,Arcana,19,18,,,,
680,5256,C2E045,00:48:23,Jester,History,Nat20,20,,,,
681,5290,C2E045,02:18:18,Jester,Perception,11,7,,,,
682,5296,C2E045,02:20:05,Jester,Stealth,17,3,,,,With PWaT
683,5308,C2E045,02:34:06,Jester,Initiative,Nat1,1,,,,
684,5314,C2E045,02:40:00,Jester,Spell Attack,17,10,,,,Inflict Wounds (2nd)
685,5315,C2E045,02:40:22,Jester,Damage,20,,,20 Necrotic to Mimic,,
686,5348,C2E045,03:14:17,Jester,Acrobatics,Nat20,20,,,,
687,5352,C2E045,03:16:05,Jester,Initiative,6,2,,,,
688,5373,C2E045,03:38:52,Jester,Intelligence,6,5,,,,
689,5379,C2E045,03:41:52,Jester,Dexterity Save,Nat20,20,,25 (51/2) Lightning to Jester,,Against Lightning Breath
690,5386,C2E045,03:54:49,Jester,Blink,3,3,,,,
691,5398,C2E045,04:03:15,Jester,Other,4,,,,,Who Fire Elemental Attacks
692,5399,C2E045,04:04:50,Jester,Spell Attack,Nat1,1,,,,Infliect Wounds (3rd)
693,5400,C2E045,04:05:33,Jester,Blink,19,19,,,,
694,5416,C2E045,04:21:09,Jester,Healing,8,,,,,"Cure Wounds (3rd), Jester heals 8 points"
695,5417,C2E045,04:21:54,Jester,Blink,Unknown,Unknown,,,,
696,5429,C2E046,00:31:56,Jester,Persuasion,8,4,,,,
697,5449,C2E046,01:52:45,Jester,Initiative,6,2,,,,
698,5450,C2E046,01:53:09,Jester,Healing,20,,,,,"Cure Wounds (3rd), Yasha heals 20 points"
699,5475,C2E046,02:13:26,Jester,Healing,14,,,,,"Cure Wounds (3rd), Yasha heals 14 points"
700,5483,C2E046,02:55:02,Jester,Stealth,Nat20,20,,,,
701,5502,C2E046,03:05:14,Jester,Initiative,18,14,,,,
702,5508,C2E046,03:06:59,Jester,Spell Attack,14,7,,,,Guiding Bolt
703,5509,C2E046,03:07:18,Jester,Damage,14,,,14 to Sea Spawn,,
704,5546,C2E046,03:26:31,Jester,Damage,22,,,22 to Sea Spawn,0.5,Toll the Dead
705,5558,C2E047,00:14:25,Jester,Initiative,11,7,,,,
706,5569,C2E047,00:22:01,Jester,Wisdom Save,Nat1,1,,,,Against Psychic Screech
707,5587,C2E047,00:32:56,Jester,Spell Attack,15,8,,,,Spiritual Weapon
708,5588,C2E047,00:33:36,Jester,Damage,12,,,12 to Chuul,,Sacred Flame
709,5621,C2E047,00:55:24,Jester,Damage,12,,,12 Necrotic to Chuul 3,,Toll the Dead
710,5660,C2E047,01:12:48,Jester,Spell Attack,Unknown,Unknown,,,,Disregarded due to advantage
711,5661,C2E047,01:12:48,Jester,Spell Attack,17,10,,,,Spiritual Weapon with advantage
712,5662,C2E047,01:12:57,Jester,Damage,12,,,12 to Chuul 4,1.0,HDYWTDT
713,5663,C2E047,01:14:15,Jester,Spell Attack,20,13,,,,Inflict Wounds (2nd)
714,5664,C2E047,01:14:15,Jester,Other,4,,,,,Bless
715,5665,C2E047,01:14:40,Jester,Damage,14,,,14 Necrotic to Chuul 3,,
716,5687,C2E047,01:30:12,Jester,Investigation,4,3,,,,
717,5693,C2E047,01:47:01,Jester,Investigation,11,10,,,,
718,5696,C2E047,01:50:12,Jester,Medicine,16,9,,,,
719,5697,C2E047,02:04:44,Jester,Dexterity Save,Nat1,1,,15 to Jester,,Escaping the temple
720,5707,C2E047,02:22:31,Jester,Initiative,12,8,,,,
721,5716,C2E047,02:45:00,Jester,Dexterity,18,14,,,,
722,5717,C2E047,03:14:42,Jester,Forgery Kit,6,2,,,,Disregarded due to advantage
723,5718,C2E047,03:14:42,Jester,Forgery Kit,8,4,,,,"With advantage, Disregarded due to fragment of possibility"
724,5719,C2E047,03:14:42,Jester,Forgery Kit,23,19,,,,With fragment of possibility and proficiency
725,5720,C2E047,03:25:15,Jester,Animal Handling,20,16,,,,
726,5721,C2E048,00:19:34,Jester,History,4,3,,,,
727,5722,C2E048,00:20:29,Jester,History,11,10,,,,
728,5723,C2E048,00:41:57,Jester,Perception,10,6,,,,
729,5727,C2E048,01:35:37,Jester,Persuasion,21,17,,,,
730,5731,C2E048,02:42:08,Jester,Forgery Kit,Unknown,Unknown,,,,Disregarded due to fragment of possibility
731,5732,C2E048,02:42:08,Jester,Forgery Kit,23,16,,,,With fragment of possibility (dex+prof)
732,5733,C2E048,02:43:09,Jester,Deception,9,5,,,,
733,5734,C2E048,02:44:46,Jester,Animal Handling,12,8,,,,
734,5745,C2E048,03:25:37,Jester,Strength,10,7,,,,
735,5768,C2E049,02:59:39,Jester,Sleight of Hand,16,9,,,,
736,5771,C2E049,03:09:25,Jester,Intelligence,16,15,,,,
737,5772,C2E049,03:11:37,Jester,Strength,8,5,,,,As Dire Honey Badger (+3 mod)
738,5773,C2E049,03:13:24,Jester,Strength,6,3,,,,As Dire Honey Badger (+3 mod)
739,5774,C2E049,03:13:24,Jester,Other,4,,,,,Bless
740,5775,C2E049,03:14:29,Jester,Perception,14,10,,,,
741,5785,C2E049,03:25:37,Jester,Hit Points,9,7,,,,
742,5787,C2E050,00:17:14,Jester,Perception,Unknown,Unknown,,,,Disregarded due to advantage
743,5788,C2E050,00:17:14,Jester,Perception,19,14,,,,With advantage
744,5789,C2E050,00:21:38,Jester,Survival,15,10,,,,
745,5792,C2E050,00:29:01,Jester,Perception,Unknown,Unknown,,,,Disregarded due to advantage
746,5793,C2E050,00:29:01,Jester,Perception,17,12,,,,With advantage
747,5796,C2E050,00:39:16,Jester,Perception,Unknown,Unknown,,,,Disregarded due to advantage
748,5797,C2E050,00:39:16,Jester,Perception,19,14,,,,With advantage
749,5801,C2E050,00:41:48,Jester,Stealth,24,9,,,,With PWaT
750,5807,C2E050,00:45:14,Jester,Perception,14,9,,,,
751,5810,C2E050,00:51:23,Jester,Initiative,6,2,,,,
752,5819,C2E050,00:57:59,Jester,Damage,19,,,19 Cold to Roper 2,,Hellish Rebuke (2nd)
753,5857,C2E050,01:20:54,Jester,Perception,12,7,,,,
754,5867,C2E050,01:23:34,Jester,Spell Attack,27,19,,,,Guiding Bolt (1st)
755,5868,C2E050,01:23:27,Jester,Damage,13,,,13 to Roper 1,,
756,5883,C2E050,01:28:00,Jester,Healing,Unknown,Unknown,,,,"Cure Wounds (2nd), Jester heals unknown points"
757,5884,C2E050,01:29:40,Jester,Perception,Unknown,Unknown,,,,Disregarded due to advantage
758,5885,C2E050,01:29:40,Jester,Perception,24,19,,,,With advantage
759,5887,C2E050,01:33:46,Jester,Perception,Unknown,Unknown,,,,Disregarded due to advantage
760,5888,C2E050,01:33:46,Jester,Perception,8,3,,,,With advantage
761,5890,C2E050,01:41:47,Jester,Perception,Nat1,1,,,,
762,5902,C2E050,02:01:08,Jester,Stealth,8,4,,,,
763,5907,C2E050,02:13:12,Jester,Deception,12,8,,,,
764,5919,C2E050,02:38:41,Jester,Dexterity Save,18,14,,,,Against skunk spray
765,5927,C2E050,02:52:04,Jester,Stealth,11,7,,,,
766,5932,C2E050,03:18:21,Jester,Initiative,Nat20,20,,,,
767,5946,C2E050,03:36:29,Jester,Deception,7,3,,,,
768,5951,C2E050,03:48:47,Jester,Spell Attack,25,17,,,,Inflict Wounds (3rd)
769,5952,C2E050,03:49:05,Jester,Damage,36,,,36 Necrotic to Fire Giant,,
770,5955,C2E051,00:13:15,Jester,Healing,13,,,,,"Cure Wounds (2nd), Nott heals 13 points"
771,5957,C2E051,00:16:38,Jester,Constitution Save,19,16,,,,
772,5960,C2E051,00:19:43,Jester,Perception,21,16,,,,
773,5963,C2E051,00:29:42,Jester,Perception,22,17,,,,
774,5970,C2E051,00:35:56,Jester,Athletics,8,5,,,,
775,5972,C2E051,00:38:20,Jester,Strength,12,9,,,,
776,5978,C2E051,00:39:30,Jester,Athletics,8,5,,,,
777,5985,C2E051,00:41:10,Jester,Athletics,20,17,,,,
778,5992,C2E051,01:05:39,Jester,Perception,9,4,,,,
779,5998,C2E051,01:16:32,Jester,Initiative,12,8,,,,
780,6015,C2E051,01:29:40,Jester,Constitution Save,21,19,,16 (32/2) Poison to Jester),,Against Cloudkill
781,6019,C2E051,01:31:03,Jester,Constitution Save,16,14,,,,Concentration
782,6073,C2E051,02:08:02,Jester,Attack,Unknown,Unknown,,,,Disregarded due to advantage
783,6074,C2E051,02:08:02,Jester,Attack,19,12,,,,Handaxe with advantage
784,6075,C2E051,02:08:30,Jester,Damage,13,,,13 to Warrior,,
785,6076,C2E051,02:08:35,Jester,Spell Attack,15,7,,,,Spiritual Weapon (4th)
786,6089,C2E051,02:17:08,Jester,Damage,16,,,8 (16/2) Cold to Warrior,,Hellish Rebuke
787,6100,C2E051,02:37:44,Jester,Investigation,10,9,,,,
788,6104,C2E051,02:40:00,Jester,Hit Dice,Unknown,Unknown,,,,Jester heals unknown amount
789,6108,C2E051,02:43:21,Jester,Survival,21,16,,,,
790,6116,C2E051,02:46:20,Jester,Stealth,30,16,,,,With PWaT
791,6129,C2E051,02:58:57,Jester,Stealth,28,11,,,,With PWaT
792,6133,C2E051,03:08:26,Jester,Stealth,15,11,,,,
793,6139,C2E051,03:45:00,Jester,Perception,19,14,,,,
794,6140,C2E051,03:45:55,Jester,Dexterity,13,9,,,,
795,6160,C2E052,02:10:45,Jester,Initiative,Nat20,20,,,,
796,6179,C2E052,02:27:40,Jester,Spell Attack,14,6,,,,Spiritual Weapon (4th)
797,6198,C2E052,02:44:26,Jester,Spell Attack,11,3,,,,Spiritual Weapon
798,6199,C2E052,02:45:02,Jester,Spell Attack,17,9,,,,Guiding Bolt (4th)
799,6200,C2E052,02:45:25,Jester,Damage,27,,,27 Radiant to Shoosuva 2,,
800,6231,C2E052,03:07:12,Jester,Spell Attack,Nat20,20,Y,,,Guiding Bolt (1st)
801,6232,C2E052,03:07:34,Jester,Damage,31,,,31 to Shoosuva 2,1.0,HDYWTDT
802,6244,C2E052,03:18:34,Jester,Wisdom,20,15,,,,
803,6250,C2E052,03:39:08,Jester,Perception,12,7,,,,
804,6251,C2E052,03:42:08,Jester,Insight,21,16,,,,
805,6253,C2E052,03:53:47,Jester,Persuasion,22,18,,,,
806,6261,C2E053,00:55:01,Jester,Animal Handling,11,6,,,,
807,6264,C2E053,00:57:44,Jester,Animal Handling,19,14,,,,
808,6267,C2E053,00:59:06,Jester,Animal Handling,16,11,,,,
809,6273,C2E053,01:13:38,Jester,Perception,10,5,,,,
810,6277,C2E053,01:32:00,Jester,Perception,22,17,,,,
811,6285,C2E053,01:45:19,Jester,Perception,24,19,,,,
812,6302,C2E053,02:48:39,Jester,Damage,17,,,17 Cold to Ogre,,Hellish Rebuke
813,6310,C2E053,02:54:46,Jester,Constitution Save,5,3,,,,Jester is stunned
814,6319,C2E053,03:09:52,Jester,Damage,17,,,17 radiant to Dairon,,Spirit Guardians
815,6320,C2E053,03:10:31,Jester,Damage,13,,,13 radiant to Ogre,,Spirit Guardians
816,6335,C2E053,03:25:22,Jester,Healing,14,,,Beau heals 14,,Cure Wounds (2nd)
817,6336,C2E053,03:25:24,Jester,Healing,15,,,Beau heals 15,,Cure Wounds (2nd)
818,6341,C2E054,00:25:51,Jester,Healing,10,,,,,Cure Wounds; Beau heals 10 points
819,6342,C2E054,00:25:55,Jester,Healing,13,,,,,Cure Wounds; Jester heals 13 points
820,6356,C2E054,01:19:38,Jester,Stealth,11,7,,,,
821,6362,C2E054,01:29:12,Jester,Perception,22,17,,,,
822,6365,C2E054,01:34:45,Jester,Deception,14,10,,,,
823,6384,C2E054,02:31:03,Jester,Stealth,21,7,,,,With PWaT
824,6390,C2E054,02:44:01,Jester,Initiative,19,15,,,,
825,6397,C2E054,02:49:28,Jester,Spell Attack,12,4,,,,Spritiual Weapon
826,6406,C2E054,03:01:40,Jester,Spell Attack,23,15,,,,Inflict Wounds (3rd)
827,6407,C2E054,03:01:58,Jester,Damage,26,,,26 Necrotic to Incubus,,
828,6408,C2E054,03:02:45,Jester,Spell Attack,11,3,,,,Spiritual Weapon
829,6425,C2E054,03:26:16,Jester,Strength,Unknown,Unknown,,,,Disregarded due to advantage
830,6426,C2E054,03:26:16,Jester,Strength,10,7,,,,With advantage
831,6427,C2E054,03:27:49,Jester,Strength,14,11,,,,
832,6435,C2E055,00:22:03,Jester,Initiative,19,15,,,,
833,6458,C2E055,00:41:13,Jester,Religion,18,17,,,,
834,6460,C2E055,00:46:08,Jester,Nature,17,16,,,,
835,6471,C2E055,01:04:04,Jester,Dexterity Save,14,10,,34 to Jester,,from Caleb's Fireball
836,6484,C2E055,01:17:08,Jester,Dexterity Save,11,7,,15 Fire to Jester,,Against Caleb's Wall of Fire
837,6497,C2E055,01:27:07,Jester,Wisdom Save,24,16,,,,
838,6513,C2E055,01:39:20,Jester,Healing,20,,,Jester heals 20,,Cure Wounds (3rd)
839,6525,C2E055,02:14:21,Jester,Initiative,17,13,,,,
840,6553,C2E055,02:35:35,Jester,Wisdom,16,11,,,,
841,6554,C2E055,02:38:00,Jester,Dexterity Save,20,16,,14 (28/2) to Jester,,Against Minotaur's Lightning Javelin
842,6556,C2E055,02:38:42,Jester,Damage,19,,,4 (19/2/2) to Minotaur,,Hellish Rebuke
843,6577,C2E055,02:51:14,Jester,Spell Attack,Unknown,Unknown,,,,Disregarded due to advantage
844,6578,C2E055,02:51:14,Jester,Spell Attack,25,17,,,,Guiding Bolt (3rd) against Minotaur
845,6579,C2E055,02:51:42,Jester,Damage,20,,,20 to Minotaur,,
846,6605,C2E055,03:04:08,Jester,Wisdom,14,9,,,,
847,6621,C2E055,03:16:53,Jester,Spell Attack,Unknown,Unknown,,,,Spiritual Weapon (3rd) against Minotaur
848,6647,C2E055,03:33:13,Jester,Healing,7,,,Caleb heals 7,,Caleb is conscious
849,6648,C2E055,03:33:44,Jester,Spell Attack,13,5,,,,Spiritual Weapon against Yasha
850,6649,C2E055,03:34:07,Jester,Spell Attack,Nat1,1,,,,Disregarded due to advantage
851,6650,C2E055,03:37:00,Jester,Attack,24,18,,,,Handaxe AoO against Minotaur
852,6651,C2E055,03:37:26,Jester,Damage,6,,,6 to Minotaur,,
853,6654,C2E055,03:38:24,Jester,Dexterity Save,18,14,,,,
854,6677,C2E055,03:47:07,Jester,Spell Attack,10,2,,,,Guiding Bolt against Minotaur
855,6687,C2E055,03:58:50,Jester,Spell Attack,25,17,,,,Spiritual Weapon against Incubus
856,6688,C2E055,03:58:56,Jester,Damage,6,,,6 to Incubus,,
857,6689,C2E055,03:59:39,Jester,Spell Attack,27,19,,,,Guiding Bolt against Incubus
858,6690,C2E055,03:59:50,Jester,Damage,8,,,8 to Incubus,,
859,6697,C2E055,04:11:10,Jester,Investigation,4,3,,,,
860,6702,C2E055,04:21:53,Jester,Healing,Unknown,Unknown,,,,Hit Dice
861,6704,C2E056,00:24:13,Jester,Perception,8,3,,,,
862,6706,C2E056,00:33:28,Jester,Athletics,20,17,,,,
863,6710,C2E056,01:11:40,Jester,Persuasion,Unknown,Unknown,,,,Disregarded due to advantage
864,6711,C2E056,01:11:40,Jester,Persuasion,21,17,,,,With advantage
865,6712,C2E056,01:14:45,Jester,Deception,22,18,,,,
866,6716,C2E056,02:20:43,Jester,Perception,8,3,,,,
867,6718,C2E056,02:24:53,Jester,Sleight of Hand,16,9,,,,
868,6721,C2E056,02:28:38,Jester,Investigation,Unknown,Unknown,,,,
869,6722,C2E056,02:41:39,Jester,Persuasion,10,6,,,,
870,6725,C2E056,02:44:31,Jester,Deception,9,5,,,,
871,6739,C2E057,03:04:45,Jester,Dexterity,7,3,,,,
872,6740,C2E057,03:05:28,Jester,Dexterity,Unknown,Unknown,,,,Disregarded due to advantage
873,6741,C2E057,03:05:28,Jester,Dexterity,10,6,,,,With advantage
874,6747,C2E057,03:36:26,Jester,Hit Points,3,1,,,,Disregarded
875,6748,C2E057,03:36:29,Jester,Hit Points,7,5,,,,
876,6761,C2E058,01:36:20,Jester,Perception,8,3,,,,
877,6762,C2E058,01:37:18,Jester,Persuasion,13,8,,,,
878,6763,C2E058,01:37:18,Jester,Persuasion,13,8,,,,
879,6767,C2E058,02:48:02,Jester,Animal Handling,11,6,,,,
880,6770,C2E058,03:13:35,Jester,Intimidation,Nat1,1,,,,
881,6777,C2E058,03:34:12,Jester,Perception,Nat20,20,,,,
882,6784,C2E058,03:42:43,Jester,Stealth,17,13,,,,
883,6792,C2E059,00:15:43,Jester,Initiative,6,2,,,,
884,6802,C2E059,00:30:20,Jester,Perception,Nat20,20,,,,
885,6841,C2E059,01:03:57,Jester,Nature,9,8,,,,
886,6843,C2E059,01:16:43,Jester,Persuasion,11,6,,,,
887,6850,C2E059,01:34:03,Jester,Strength,Unknown,,,,,
888,6853,C2E059,01:39:23,Jester,Stealth,20,16,,,,
889,6860,C2E059,01:52:39,Jester,Dexterity Save,11,7,,,,
890,6861,C2E059,01:53:28,Jester,Constitution Save,9,7,,,,Jester is Poisoned
891,6871,C2E059,02:52:34,Jester,Initiative,13,9,,,,
892,6903,C2E059,03:21:30,Jester,Damage,12,,,12 to Babau 1 and 3,,Spirit Guardians
893,6907,C2E059,03:25:17,Jester,Constitution Save,11,9,,,,Jester is unconscious
894,6929,C2E059,03:49:49,Jester,Wisdom,10,5,,,,Dispel Magic
895,6938,C2E060,00:14:07,Jester,Initiative,17,13,,,,
896,6948,C2E060,00:24:43,Jester,Damage,15,,,15 Cold to Dybbuk 1 (Stone Giant 1),,Hellish Rebuke
897,6953,C2E060,00:28:38,Jester,Spell Attack,23,14,,,,Inflict Wounds (3rd)
898,6954,C2E060,00:29:28,Jester,Damage,31,,,31 Necrotic to Dybbuk 1 (Stone Giant 1),,
899,6968,C2E060,00:50:21,Jester,Healing,11,,,,,"Cure Wounds, Jester heals 11 points"
900,6969,C2E060,00:53:02,Jester,Perception,24,19,,,,
901,6975,C2E060,01:02:33,Jester,Wisdom,13,8,,,,Dispel Magic (4th)
902,6977,C2E060,01:03:52,Jester,Initiative,20,16,,,,
903,6987,C2E060,01:08:16,Jester,Wisdom,Nat1,1,,,,Dispel Magic (5th)
904,6996,C2E060,01:15:02,Jester,Wisdom Save,14,5,,,,Against Violate Corpse
905,7040,C2E060,02:29:17,Jester,Initiative,21,17,,,,
906,7049,C2E060,02:34:55,Jester,Spell Attack,27,18,,,,Guiding Bolt (2nd)
907,7050,C2E060,02:35:09,Jester,Damage,21,,,21 Radiant to Dybbuk 1 (Stone Giant 2),,
908,7067,C2E060,02:45:53,Jester,Spell Attack,12,3,,,,Guiding Bolt
909,7083,C2E060,03:01:32,Jester,Intelligence,14,13,,,,
910,7084,C2E060,03:03:38,Jester,Insight,13,8,,,,
911,7091,C2E061,00:21:43,Jester,Perception,18,13,,,,
912,7092,C2E061,00:23:08,Jester,Perception,23,18,,,,
913,7094,C2E061,00:25:57,Jester,Religion,5,4,,,,
914,7103,C2E061,00:47:14,Jester,Animal Handling,Unknown,Unknown,,,,
915,7120,C2E061,03:19:59,Jester,Perception,18,13,,,,
916,7121,C2E061,03:22:39,Jester,Persuasion,24,19,,,,
917,7122,C2E062,00:13:27,Jester,Wisdom Save,Unknown,Unknown,,,,
918,7124,C2E062,00:20:57,Jester,Investigation,20,19,,,,
919,7126,C2E062,00:22:34,Jester,Investigation,11,10,,,,
920,7130,C2E062,00:41:13,Jester,Performance,Unknown,Unknown,,,,Disregarded due to advantage
921,7131,C2E062,00:41:13,Jester,Performance,13,12,,,,With advantage
922,7133,C2E062,00:50:50,Jester,Wisdom,12,7,,,,
923,7135,C2E062,01:00:56,Jester,History,Nat1,1,,,,
924,7154,C2E062,02:35:05,Jester,Nature,3,2,,,,
925,7155,C2E062,02:35:47,Jester,Animal Handling,Nat1,1,,,,
926,7178,C2E062,03:28:06,Jester,Investigation,19,18,,,,
927,7179,C2E062,03:36:16,Jester,Perception,10,5,,,,
928,7202,C2E063,01:18:43,Jester,Stealth,24,10,,,,With PWaT
929,7204,C2E063,01:23:13,Jester,Intelligence,9,14,,,,-5 mod
930,7205,C2E063,01:24:00,Jester,Intelligence,0,5,,,,-5 mod
931,7206,C2E063,01:24:35,Jester,Intelligence,8,13,,,,-5 mod
932,7207,C2E063,01:24:53,Jester,Dexterity,8,7,,,,1 mod
933,7208,C2E063,01:25:10,Jester,Perception,5,7,,,,-2 mod
934,7209,C2E063,01:25:49,Jester,Dexterity Save,7,3,,6 to Jester,,
935,7210,C2E063,01:27:13,Jester,Perception,17,12,,,,
936,7219,C2E063,01:41:23,Jester,Perception,15,10,,,,
937,7225,C2E063,01:50:00,Jester,Deception,Unknown,Unknown,,,,Disregarded due to advantage
938,7226,C2E063,01:50:00,Jester,Deception,22,17,,,,With advantage
939,7229,C2E063,01:53:16,Jester,Perception,Unknown,Unknown,,,,
940,7242,C2E063,02:34:14,Jester,Initiative,7,3,,,,
941,7251,C2E063,02:46:57,Jester,Spell Attack,Nat1,1,,,,Guiding Bolt
942,7274,C2E063,03:06:39,Jester,Wisdom,14,9,,,,Dispel Magic
943,7304,C2E063,03:42:55,Jester,Perception,23,18,,,,
944,7319,C2E064,01:16:45,Jester,Survival,18,13,,,,
945,7326,C2E064,01:28:53,Jester,Perception,8,3,,,,
946,7330,C2E064,01:58:34,Jester,Initiative,17,13,,,,
947,7350,C2E064,02:06:16,Jester,Spell Attack,Unknown,Unknown,,,,Disregarded due to advantage
948,7351,C2E064,02:05:16,Jester,Spell Attack,24,15,,,,Guiding Bolt (2nd) with advantage
949,7352,C2E064,02:05:31,Jester,Damage,23,,,23 Radiant to The Lost 1,,
950,7382,C2E064,02:26:54,Jester,Spell Attack,16,7,,,,Guiding Bolt (3rd)
951,7383,C2E064,02:27:19,Jester,Damage,23,,,23 Radiant to The Lost 2,1.0,HDYWTDT
952,7410,C2E064,02:49:24,Jester,Attack,13,5,,,,Handaxe
953,7411,C2E064,02:49:59,Jester,Spell Attack,17,8,,,,Spiritual Weapon (4th)
954,7412,C2E064,02:50:12,Jester,Damage,12,,,12 Force to The Lost 4,1.0,HDYWTDT
955,7418,C2E064,02:53:07,Jester,Healing,18,,,,,Cure Wounds (2nd); Caleb heals 18 points
956,7422,C2E064,02:56:24,Jester,Religion,10,9,,,,
957,7425,C2E064,03:06:44,Jester,Religion,19,18,,,,
958,7439,C2E065,00:24:54,Jester,Perception,Nat20,20,,,,
959,7458,C2E065,00:52:19,Jester,Perception,10,5,,,,
960,7464,C2E065,01:03:41,Jester,Spell Attack,26,17,,,,Guiding Bolt (1st)
961,7465,C2E065,01:04:00,Jester,Damage,17,,,32 (17x2) to Gloomstalker 2,,
962,7475,C2E065,01:07:08,Jester,Constitution Save,8,6,,,,Against Shriek
963,7490,C2E065,01:12:12,Jester,Initiative,20,16,,,,
964,7501,C2E065,01:19:24,Jester,Constitution Save,Unknown,Unknown,,,,Concentration
965,7505,C2E065,01:21:51,Jester,Constitution Save,Nat20,20,,,,Against Shriek
966,7520,C2E065,01:33:56,Jester,Spell Attack,25,16,,,,Guiding Bolt (2nd)
967,7521,C2E065,01:34:08,Jester,Damage,14,,,28 (14x2) Radiant to Gloomstalker 3,,
968,7527,C2E065,01:40:25,Jester,Healing,12,,,,,Cure Wounds; Jester heals 12 points
969,7530,C2E065,01:42:42,Jester,Hit Dice,Unknown,Unknown,,,,Jester heals unknown points
970,7541,C2E065,01:51:32,Jester,Animal Handling,7,2,,,,
971,7543,C2E065,01:57:59,Jester,Spell Attack,17,8,,,,Guiding Bolt (3rd)
972,7544,C2E065,01:58:27,Jester,Damage,26,,,52 (26x2) Radiant to Gloomstalker 4,,
973,7550,C2E065,02:47:14,Jester,Perception,13,8,,,,
974,7554,C2E065,03:07:44,Jester,Perception,23,18,,,,
975,7557,C2E065,03:20:20,Jester,Perception,10,5,,,,
976,7563,C2E065,03:22:27,Jester,Stealth,21,7,,,,With Pass Without a Trace
977,7570,C2E065,03:28:42,Jester,Athletics,20,17,,,,
978,7571,C2E065,03:28:56,Jester,Athletics,19,16,,,,
979,7575,C2E065,03:30:12,Jester,Athletics,Nat1,1,,,,
980,7578,C2E065,03:33:20,Jester,Athletics,13,10,,,,
981,7580,C2E065,03:33:56,Jester,Athletics,9,6,,,,
982,7582,C2E065,03:34:56,Jester,Athletics,19,16,,,,
983,7583,C2E065,03:36:06,Jester,Athletics,17,14,,,,
984,7591,C2E065,03:44:07,Jester,Athletics,Nat20,20,,,,
985,7593,C2E065,03:44:07,Jester,Stealth,20,16,,,,
986,7603,C2E066,00:20:34,Jester,Stealth,Unknown,Unknown,,,,Disregarded due to disasdvantage
987,7604,C2E066,00:20:34,Jester,Stealth,6,2,,,,With disadvantage
988,7611,C2E066,00:37:22,Jester,Healing,25,,,,,Cure Wounds (3rd); Fjord heals 25 points
989,7620,C2E066,00:51:20,Jester,Constitution Save,10,8,,,,Concentration
990,7621,C2E066,00:51:58,Jester,Strength,5,2,,,,
991,7623,C2E066,00:54:05,Jester,Strength,Nat1,1,,,,
992,7624,C2E066,00:54:26,Jester,Strength,Unknown,Unknown,,,,
993,7625,C2E066,00:56:18,Jester,Strength,9,6,,,,
994,7626,C2E066,00:56:40,Jester,Strength,16,13,,,,
995,7640,C2E066,01:03:56,Jester,Stealth,29,15,,,,With PWaT
996,7649,C2E066,01:09:27,Jester,Dexterity Save,20,16,,12 (24/2) Fire to Jester,,Against Fireball trap
997,7653,C2E066,01:10:53,Jester,Sleight of Hand,12,4,,,,
998,7656,C2E066,01:11:20,Jester,Healing,Unknown,Unknown,,,,Hit Dice
999,7673,C2E066,01:27:50,Jester,Stealth,10,6,,,,
1000,7680,C2E066,01:31:51,Jester,Constitution Save,Nat1,1,,,,Jester gains a point of exhaustion
1001,7685,C2E066,02:14:30,Jester,History,Nat20,20,,,,
1002,7691,C2E066,02:25:48,Jester,Stealth,11,7,,,,
1003,7692,C2E066,02:26:21,Jester,Sleight of Hand,Unknown,Unknown,,,,Disregarded due to disadvantage
1004,7693,C2E066,02:26:21,Jester,Sleight of Hand,18,9,,,,With disadvantage
1005,7713,C2E066,03:28:37,Jester,Stealth,Unknown,Unknown,,,,Disregarded due to advantage
1006,7714,C2E066,03:28:37,Jester,Stealth,20,16,,,,With advantage
1007,7720,C2E066,03:31:24,Jester,Perception,Unknown,Unknown,,,,Disregarded due to disadvantage
1008,7721,C2E066,03:31:24,Jester,Perception,9,4,,,,With disadvantage
1009,7735,C2E066,03:50:21,Jester,Investigation,10,9,,,,
1010,7765,C2E067,00:31:15,Jester,Initiative,24,20,,,,
1011,7771,C2E067,00:34:48,Jester,Spell Attack,Nat1,1,,,,Spiritual Weapon
1012,7794,C2E067,00:56:32,Jester,Spell Attack,15,6,,,,Spiritual Weapon
1013,7795,C2E067,00:56:44,Jester,Damage,16,,,16 to Spider 3,1,
1014,7802,C2E067,01:00:12,Jester,Other,6,,,,,D6 for spider aim
1015,7811,C2E067,01:09:11,Jester,Perception,23,18,,,,
1016,7819,C2E067,01:19:04,Jester,Nature,8,7,,,,
1017,7831,C2E067,01:35:24,Jester,Constitution Save,16,14,,,,
1018,7838,C2E067,01:39:54,Jester,Stealth ,15,11,,,,
1019,7848,C2E067,01:45:02,Jester,Initiative,6,2,,,,
1020,7849,C2E067,01:48:18,Jester,Attack,Nat1,1,,,,Handaxe
1021,7850,C2E067,01:48:18,Jester,Attack,Unknown,Unknown,,,,Disregarded due to disadvantage
1022,7856,C2E067,01:51:11,Jester,Dexterity Save,11,7,,,,
